delivery_partner_id,name,city,vehicle_type,rating
52,Amber Webb,Bhavnagar,scooter,4.5
53,Brenda Perry,Gandhinagar,scooter,4.8
54,Jennifer Pitts,Gandhinagar,bicycle,3.8
55,Willie Alexander,Dahod,bicycle,3.6
56,Joseph Shepard,Vadodara,bike,3.5
57,Kathleen Lee,Porbandar,bike,4.8
58,Barbara York,Vyara,bicycle,4.9
59,Billy Bullock,Ankleshwar,bike,3.7
60,Ashley Maxwell,Botad,bicycle,3.8
61,Oscar Davis,Vadodara,bike,3.8
62,Jonathan Shepherd,Godhra,bicycle,4.8
63,Angela Rodriguez,Porbandar,scooter,3.6
64,Anthony Campbell,Godhra,bicycle,4.3
65,Lisa Booker,Patan,scooter,4.8
66,Misty Booth,Valsad,bicycle,4.5
67,Jennifer Reyes,Jamnagar,bicycle,3.8
68,Jason Davis,Gandhinagar,bicycle,3.8
69,Emily Cox,Navsari,bicycle,3.7
70,Jill Ford,Deesa,bicycle,4.6
71,Mark Kelly,Ankleshwar,bike,4.0
72,Michael Martin,Morbi,scooter,3.9
73,Tom Gentry,Mehsana,bicycle,4.3
74,Lacey Henderson,Kalol,bicycle,4.2
75,Patrick Hamilton,Amreli,bike,4.5
76,Jennifer Murray,Bharuch,bicycle,4.2
77,Kimberly Johnson,Nadiad,bicycle,3.7
78,Natalie Wallace,Dahod,scooter,4.8
79,Ashley Scott DDS,Jamnagar,bicycle,4.0
80,Jessica Davis,Botad,bicycle,4.8
81,Grace Buck,Bharuch,scooter,3.9
82,Christopher Garcia,Nadiad,bike,3.9
83,Sheryl Walker,Godhra,scooter,4.4
84,Traci Williams,Vapi,scooter,4.5
85,Katherine Rodriguez,Amreli,bike,3.8
86,Steven Smith,Kalol,bicycle,3.8
87,Dominique Green,Bhavnagar,bike,4.0
88,Angela Sanchez,Anand,scooter,3.6
89,Melody Anderson,Surendranagar,bike,4.3
90,Jonathan Barber,Palanpur,bicycle,3.5
91,Rebecca Hanson,Patan,bicycle,4.1
92,Ashley Smith,Rajkot,bicycle,4.4
93,Connor Dalton,Vadodara,bike,3.9
94,Christian Becker,Vapi,bike,4.3
95,Ricardo Buck,Surendranagar,scooter,4.8
96,Daniel Wang,Vyara,scooter,3.6
97,Shane Tucker,Valsad,scooter,4.4
98,Robert Schmidt,Jamnagar,bike,4.2
99,James Lewis,Navsari,bike,3.8
100,Amanda Dennis,Rajkot,bicycle,4.6
101,Lori White,Himmatnagar,bicycle,3.8
102,Joseph Owens Jr.,Kalol,bicycle,4.4
103,Morgan Ferguson,Bhavnagar,bike,4.2
104,Brianna Davis,Himmatnagar,bicycle,4.6
105,Mary Carter,Godhra,bike,4.4
106,Douglas Armstrong,Vyara,bicycle,4.5
107,Donald Williams,Kalol,bike,4.9
108,Bradley Kelley,Modasa,bike,4.5
109,Toni Wilson,Porbandar,bicycle,4.4
110,James Watson,Palanpur,bicycle,3.8
111,Danielle Bell,Palanpur,bike,4.7
112,Michael Mercado,Anand,bicycle,4.8
113,David Davis,Palanpur,bike,4.8
114,Becky Martinez,Vyara,scooter,4.5
115,Justin Jones,Gandhinagar,scooter,4.7
116,Daniel Roy,Vadodara,bicycle,4.4
117,Amber Harrison,Anand,bike,4.8
118,David Duke,Modasa,bike,4.5
119,Riley Diaz,Veraval,bicycle,4.3
120,Jordan Martinez,Nadiad,bicycle,3.5
121,Derek Anderson,Ahmedabad,bike,4.1
122,Charles Powers,Modasa,bicycle,4.1
123,Amber Cross,Surendranagar,bicycle,4.2
124,Erica Vargas,Surat,bike,4.9
125,Frederick Summers,Valsad,bike,4.7
126,Lauren Vang,Jamnagar,bicycle,4.9
127,Kendra Gibson,Mehsana,bicycle,4.5
128,James Walters,Ankleshwar,bicycle,4.4
129,Anthony Pugh,Patan,bicycle,4.5
130,Rebecca Knox,Deesa,bike,4.3
131,Keith Tran,Veraval,bicycle,4.8
132,Thomas Lane,Dahod,scooter,3.7
133,Kathy Castro,Anand,bike,4.7
134,Eric Freeman,Vadodara,bicycle,3.5
135,Kimberly Walton,Surendranagar,scooter,4.2
136,Carla Potter,Morbi,bicycle,4.8
137,Kent Patrick,Nadiad,scooter,4.4
138,Jeffrey Palmer III,Nadiad,bicycle,4.3
139,Mary Larson,Veraval,bicycle,4.9
140,Victoria Boyer,Vyara,scooter,4.0
141,Teresa Curtis,Nadiad,bicycle,4.1
142,Luis Mccoy,Palanpur,bicycle,4.8
143,Stephanie Lopez,Anand,bike,4.4
144,Thomas Robinson,Porbandar,bike,3.7
145,John Padilla,Ahmedabad,scooter,4.2
146,Troy Golden,Kalol,bicycle,3.5
147,Dean Smith,Vadodara,scooter,4.3
148,Tina Jefferson,Anand,bicycle,4.8
149,Deanna Brown,Mehsana,scooter,3.6
150,Martha Baker,Anand,scooter,3.5
151,Regina Stephenson,Bhavnagar,bike,4.2
152,Michael Aguilar,Ahmedabad,bike,4.8
153,Andre Butler,Dahod,bicycle,3.8
154,Corey Wilson,Veraval,scooter,3.5
155,Derek Harrison,Nadiad,bike,4.3
156,Nicholas Horton,Gandhinagar,bike,3.8
157,Tonya Hampton,Porbandar,bicycle,3.6
158,Jose Curtis,Porbandar,bicycle,4.5
159,Jessica Harper,Jamnagar,bicycle,3.9
160,Mary Cummings,Palanpur,bike,4.6
161,Lori Watson,Amreli,bike,3.8
162,Andrew Buchanan,Mehsana,bicycle,4.4
163,Zachary Sanchez,Gandhinagar,bike,4.2
164,Mrs. Meagan Hernandez,Deesa,bike,3.6
165,James Vincent,Anand,bike,3.8
166,Melissa Walters,Dahod,bike,3.6
167,Theresa Farmer,Amreli,bike,3.7
168,Jordan Hill,Rajkot,bike,4.8
169,Arthur Baker,Godhra,bicycle,4.9
170,Pamela George,Ahmedabad,bike,4.0
171,Kathryn Nolan,Vadodara,bike,4.4
172,James Walker,Valsad,scooter,4.7
173,Molly Harris,Morbi,scooter,4.8
174,Trevor Fletcher,Nadiad,bike,4.2
175,John Garcia,Modasa,bike,3.7
176,Albert Warren,Dahod,scooter,3.7
177,Shelby Walter,Vyara,bicycle,4.8
178,Lacey Gonzalez,Anand,bike,4.5
179,Kaitlyn Patterson,Anand,scooter,4.4
180,Jason Khan,Ahmedabad,bike,3.7
181,Joe Martinez,Himmatnagar,bicycle,4.1
182,David Underwood,Gandhinagar,scooter,4.0
183,Justin Marquez,Mehsana,scooter,3.8
184,Amanda Foster,Bharuch,scooter,4.4
185,Jason Leblanc,Bhavnagar,bike,4.7
186,Michele Murray,Ahmedabad,bike,3.9
187,Roy Thompson,Godhra,bicycle,4.1
188,Emily Kennedy,Veraval,bicycle,4.5
189,Lindsey Wilson,Jamnagar,scooter,4.5
190,Timothy Patterson,Modasa,bike,4.2
191,Randy Carroll,Surat,bike,4.0
192,Melissa Scott,Navsari,scooter,3.9
193,Mrs. Diana Newton MD,Godhra,bicycle,4.6
194,Kristina Howard,Bharuch,bike,4.8
195,Michael Holland,Vadodara,scooter,4.4
196,Mrs. Olivia Pennington,Deesa,scooter,4.0
197,Colton Cunningham,Mehsana,scooter,4.1
198,Donna Bell,Veraval,bicycle,4.8
199,William Watson,Vyara,bike,3.6
200,Lisa Flores,Modasa,scooter,3.6
201,Elizabeth Williams,Deesa,bicycle,3.5
202,Tanya Johnson,Veraval,scooter,4.2
203,Whitney Daniel,Kalol,bike,4.3
204,Kathleen Beltran,Anand,bicycle,3.5
205,Michael Henderson,Junagadh,bicycle,3.6
206,Lori Thompson,Bhavnagar,scooter,3.6
207,Angela Flowers,Rajkot,bike,3.9
208,Suzanne Horn,Ahmedabad,scooter,4.6
209,Jill Diaz,Navsari,bicycle,4.3
210,Diana Knight,Patan,scooter,3.8
211,Shelley Matthews,Morbi,bike,4.4
212,Mr. Jason Rowe Jr.,Gandhinagar,bicycle,3.7
213,Adrienne Chang,Surendranagar,scooter,4.0
214,Cheryl Hernandez,Junagadh,scooter,3.6
215,Christopher Howard,Kalol,bicycle,4.3
216,Patrick Livingston,Nadiad,bike,4.3
217,Dakota Jimenez,Bharuch,scooter,4.8
218,Taylor Romero,Nadiad,bike,3.6
219,Tara Yang,Surat,bike,4.7
220,Stephanie Brewer,Nadiad,scooter,4.7
221,Donald Allen,Valsad,scooter,4.9
222,Eric Johnson,Nadiad,bicycle,4.0
223,Savannah Mays,Palanpur,scooter,3.8
224,Denise White,Dahod,scooter,3.6
225,Michael King,Navsari,scooter,4.7
226,Teresa Caldwell,Vadodara,scooter,3.8
227,Ryan Moss,Botad,bicycle,4.3
228,Matthew Merritt,Rajkot,bicycle,4.2
229,Seth Watkins,Surendranagar,scooter,4.4
230,Daniel Sharp II,Jamnagar,scooter,4.8
231,Brandy Howard,Veraval,bike,3.6
232,Jared Thompson,Veraval,scooter,3.6
233,Sara Novak,Himmatnagar,bicycle,3.7
234,Scott Johnson,Mehsana,scooter,4.5
235,Leslie Peck,Vapi,scooter,4.0
236,Ashley Cain,Navsari,scooter,3.8
237,Sheila Schneider,Surendranagar,scooter,4.8
238,Steven Phillips,Surat,scooter,3.8
239,Cheyenne Reilly,Valsad,scooter,4.9
240,Nancy Dawson,Mehsana,scooter,4.2
241,Mr. Peter Jackson DDS,Vyara,bicycle,4.8
242,Stacy Russell,Surat,scooter,4.8
243,Selena Nelson,Godhra,bicycle,4.7
244,Michael Reynolds,Veraval,bike,3.8
245,Colleen Brown,Junagadh,bicycle,4.2
246,Patrick Mendez,Botad,bike,4.7
247,Jasmine Smith,Godhra,scooter,4.0
248,Cristian Sanders,Vadodara,bicycle,4.5
249,Mark Long,Morbi,bike,4.5
250,Jessica Brandt,Mehsana,scooter,4.0
251,Amanda Woodward,Ankleshwar,bike,3.6
252,Kathleen Nichols,Deesa,bicycle,4.7
253,Michael Conrad,Mehsana,bike,4.7
254,Michael Kelley,Ankleshwar,bike,3.9
255,Kenneth Johnson,Himmatnagar,bicycle,3.8
256,Jaime Spencer,Deesa,scooter,4.6
257,Gina Davis,Himmatnagar,scooter,3.9
258,Kayla Hamilton,Porbandar,scooter,4.5
259,John Ross,Gandhinagar,bicycle,4.5
260,Mary Nguyen,Kalol,bicycle,4.8
261,Frank Clark,Bharuch,bicycle,4.8
262,Corey Davidson,Gandhinagar,bike,3.7
263,Nathan Joyce,Amreli,bicycle,3.7
264,Victoria Vaughn,Mehsana,bicycle,4.4
265,Jared Mckinney,Valsad,bicycle,4.4
266,Johnny Harris,Valsad,bicycle,4.3
267,Joseph Simmons,Patan,bicycle,3.8
268,William Powers,Kalol,scooter,3.6
269,Eric Fisher,Anand,bicycle,4.0
270,Erin Fischer,Morbi,bike,4.3
271,Joe Barton,Navsari,bike,4.5
272,Tonya Thompson,Dahod,bicycle,4.8
273,Ms. Cathy Blair,Amreli,bicycle,4.3
274,Danielle Smith,Himmatnagar,bicycle,3.9
275,Christopher Fuller,Nadiad,bike,4.0
276,Kimberly Taylor,Jamnagar,scooter,4.3
277,Chad Hernandez,Veraval,bicycle,4.6
278,James Smith,Gandhinagar,bike,3.7
279,Lauren Conner,Vyara,bicycle,3.5
280,Matthew Simmons,Bhavnagar,scooter,3.5
281,Deborah Ortega,Amreli,bike,4.2
282,Paul Vang,Patan,bicycle,4.6
283,Mark Valentine,Patan,bicycle,3.9
284,Dr. Damon Buck Jr.,Valsad,scooter,4.4
285,Alyssa Martin,Rajkot,scooter,3.7
286,Scott Elliott,Patan,scooter,4.2
287,Jessica Gutierrez,Navsari,bike,4.3
288,Joseph Horton,Jamnagar,bicycle,3.7
289,Mark Cunningham,Himmatnagar,scooter,4.6
290,Sarah Evans,Bhavnagar,bike,4.2
291,Michael Davis,Gandhinagar,bike,3.9
292,Brian Walker,Nadiad,scooter,4.1
293,Michelle Beltran,Ankleshwar,bike,4.3
294,Ricky Rodriguez,Ahmedabad,bike,4.1
295,Caleb Anderson,Gandhinagar,scooter,3.9
296,Kenneth Monroe,Patan,scooter,3.7
297,Cheyenne Williams,Kalol,bicycle,3.8
298,Keith Mitchell,Vadodara,bicycle,4.3
299,Lauren Wagner,Veraval,bike,3.6
300,Garrett Ross,Dahod,bicycle,3.6
301,Nicholas Rosales,Anand,bicycle,4.1
302,Jeffrey Fowler,Palanpur,bicycle,4.6
303,Melissa Vasquez,Ahmedabad,scooter,3.6
304,Danielle Davis,Patan,scooter,4.1
305,Shawn Barrett,Himmatnagar,bike,4.0
306,Wanda Mills,Himmatnagar,bike,3.7
307,Crystal Patterson,Morbi,scooter,4.0
308,Michael Sullivan,Surendranagar,bike,4.3
309,Jose Johnson,Junagadh,bike,4.8
310,Patrick Reed,Amreli,bicycle,4.8
311,Brian Peterson,Porbandar,scooter,3.7
312,Guy Schmidt,Ankleshwar,scooter,4.1
313,Penny Miller,Vapi,bike,4.2
314,Norman Wilkerson,Valsad,bike,3.9
315,Brandon Gonzalez,Ankleshwar,bicycle,4.8
316,Kevin Allen,Bhavnagar,bike,4.2
317,Sandra Cole,Morbi,bike,4.8
318,Brenda Knapp,Deesa,bicycle,4.3
319,Nancy Graham,Himmatnagar,bicycle,3.8
320,Stephanie Fowler,Valsad,scooter,4.3
321,Logan Barron,Vapi,scooter,3.5
322,Erin Hernandez,Gandhinagar,bike,3.5
323,Ricky Scott,Anand,bike,4.7
324,Joseph Moore,Himmatnagar,scooter,4.9
325,Jason Lewis,Veraval,bicycle,4.2
326,Benjamin Walter,Bharuch,bicycle,3.8
327,Matthew Ferguson,Godhra,bike,4.7
328,William Hickman,Surendranagar,scooter,3.9
329,John Palmer,Mehsana,bicycle,4.0
330,Barbara Elliott,Palanpur,bike,4.1
331,Andrew Lewis,Rajkot,scooter,4.7
332,Mr. Marcus Nichols,Vapi,bicycle,4.2
333,Robert Flowers,Vyara,bike,4.4
334,Shawn Lynch,Himmatnagar,bike,4.9
335,Austin Huffman,Navsari,bike,4.3
336,Patricia Villegas,Dahod,bike,4.8
337,Michael Ingram,Kalol,bike,3.6
338,Edward Castillo,Morbi,bike,4.6
339,Kayla Moore,Junagadh,scooter,4.0
340,Kristine Jones,Bharuch,scooter,4.4
341,Brenda Robinson,Modasa,bicycle,4.1
342,Stephanie Harrington,Palanpur,bicycle,4.9
343,Erin Nelson,Botad,scooter,3.6
344,Sean Adams,Vadodara,bicycle,3.9
345,Mary Pennington,Surat,scooter,3.8
346,Patricia Solis,Amreli,scooter,3.8
347,Timothy Ross,Nadiad,bicycle,4.8
348,Gary Knight,Patan,bicycle,4.0
349,Michael Garcia,Jamnagar,scooter,4.5
350,Jeff Jones,Surendranagar,bicycle,4.6
351,Darrell Moses,Valsad,bike,4.2
352,Michael Ramirez,Kalol,bike,3.7
353,Michael Meadows,Modasa,bike,3.7
354,Kenneth Koch,Rajkot,bicycle,4.4
355,Robert Richard,Gandhinagar,bike,4.3
356,Tiffany Wells,Dahod,bike,4.5
357,Mindy Gray,Anand,scooter,3.9
358,Zachary Brown,Modasa,bicycle,4.0
359,Christopher Summers,Vyara,bicycle,4.7
360,Vincent Henry,Himmatnagar,bicycle,4.9
361,Julie Jefferson,Ahmedabad,bicycle,4.3
362,Eric Bailey,Bhavnagar,bicycle,4.1
363,Ryan Anderson,Amreli,bicycle,3.6
364,Brian Soto,Modasa,scooter,4.4
365,Nicholas Brown,Vyara,bicycle,3.7
366,Angela Garcia DDS,Dahod,bike,4.1
367,James Sherman,Porbandar,bicycle,3.5
368,Donna Woods,Bharuch,bicycle,4.0
369,Kristin Walker,Gandhinagar,bike,4.6
370,Christopher Allen,Palanpur,bicycle,4.8
371,Eric Walton,Deesa,bike,3.7
372,Christopher Richards,Ahmedabad,scooter,4.6
373,Charles Dudley,Deesa,scooter,4.2
374,Jason Berger,Amreli,scooter,4.3
375,David Richards,Valsad,bike,3.5
376,Taylor Smith,Dahod,bicycle,4.4
377,Janet Lee,Palanpur,scooter,4.2
378,Lisa Patel,Bhavnagar,bicycle,4.4
379,Matthew Lopez,Ahmedabad,scooter,3.5
380,Melissa Spears,Himmatnagar,bike,4.0
381,Jacob Stevens,Mehsana,scooter,4.2
382,Karen Underwood,Gandhinagar,scooter,4.6
383,Candace Combs,Surat,scooter,3.8
384,Robert Jones,Bhavnagar,bike,4.7
385,Gregory Porter,Amreli,scooter,4.9
386,Nicole Hutchinson,Nadiad,bicycle,4.6
387,Karen Park,Porbandar,scooter,3.7
388,Ethan Mcdowell DDS,Vadodara,scooter,4.7
389,Ariel Ferguson,Gandhinagar,bicycle,3.6
390,William Williams,Nadiad,bike,3.8
391,Karen Hood,Dahod,bike,3.8
392,Samantha Ruiz,Nadiad,scooter,3.6
393,Marc Wallace,Ahmedabad,scooter,3.8
394,Leah Fisher,Morbi,bike,4.6
395,Steven Vega,Bharuch,bike,4.8
396,Brandi Terrell,Anand,scooter,4.3
397,Cheryl Martinez,Modasa,bicycle,3.8
398,Dennis Phillips,Valsad,bike,4.8
399,Manuel Miller,Bhavnagar,bicycle,4.6
400,Kristi Christian,Palanpur,bike,3.6
401,Gregory Schmitt,Amreli,bike,3.8
402,Matthew Lawrence,Himmatnagar,bicycle,3.7
403,Ashley Reyes,Himmatnagar,bike,4.5
404,Colton Butler,Bharuch,bicycle,4.8
405,Ryan Moreno,Modasa,bicycle,4.9
406,Kevin Lowery,Mehsana,scooter,4.2
407,Kristina Everett,Mehsana,scooter,3.6
408,George Wagner PhD,Surendranagar,bike,4.9
409,Nicolas Gaines,Gandhinagar,bicycle,4.8
410,Abigail Garcia,Patan,bicycle,4.2
411,Peter Thompson,Nadiad,bicycle,4.3
412,Melissa Nelson,Junagadh,scooter,4.1
413,Jesse Santiago,Anand,bike,4.1
414,Aaron Coleman,Deesa,bicycle,4.8
415,Billy Thompson,Amreli,scooter,4.2
416,Samantha Schmidt,Palanpur,bike,4.4
417,Richard Ware,Botad,bicycle,3.7
418,Hayley Stevenson,Junagadh,scooter,3.7
419,Brian Torres,Bhavnagar,bike,4.8
420,Tracy Good,Modasa,scooter,4.9
421,Andrew Scott,Veraval,bike,4.1
422,Joyce Booth,Palanpur,scooter,4.8
423,Sarah Miller,Navsari,bicycle,3.6
424,Heidi Pope,Palanpur,bike,4.7
425,Heather Allen,Modasa,bicycle,4.1
426,Katie Valdez,Amreli,bike,4.3
427,Joshua Davidson,Vadodara,scooter,4.3
428,Angela Robinson,Porbandar,bike,4.0
429,Anthony Kelly,Deesa,bike,4.8
430,Michael Goodwin,Himmatnagar,scooter,4.8
431,Richard Harper,Ankleshwar,scooter,4.9
432,Jaclyn Garrett,Kalol,bicycle,4.0
433,Jessica Hinton,Patan,bike,4.6
434,James Wilson,Amreli,bike,4.7
435,Jonathon Lewis,Deesa,scooter,3.8
436,Melissa Guzman,Anand,bike,4.8
437,Carolyn Kim,Kalol,scooter,4.8
438,Sara Wolf,Junagadh,bicycle,3.9
439,Lisa Hughes,Surat,bicycle,4.6
440,Breanna Stephens,Ankleshwar,bicycle,3.5
441,Mr. Michael Lewis,Modasa,bicycle,3.7
442,Loretta Collins,Valsad,bike,4.0
443,Paul Newman,Navsari,scooter,3.9
444,Jesus Jensen,Mehsana,bicycle,3.8
445,Steven Black,Modasa,scooter,4.2
446,Chris Diaz,Mehsana,bike,4.8
447,Brian Smith,Dahod,bicycle,4.5
448,Emily Kerr,Junagadh,scooter,3.8
449,Alice Bautista MD,Morbi,bike,4.1
450,Ashley Scott,Surendranagar,bicycle,4.4
451,Julian Brock,Ankleshwar,bicycle,3.9
452,Emily Hunt,Surendranagar,bicycle,4.4
453,Jonathan Chen,Ankleshwar,scooter,4.1
454,Duane Lewis,Deesa,bike,3.5
455,Michael Kim,Bharuch,scooter,4.0
456,Tracy Rocha,Vadodara,bike,4.4
457,Stephanie Williams,Surat,bicycle,4.6
458,Theresa Smith,Botad,bicycle,4.6
459,Michael Robertson,Ankleshwar,scooter,4.8
460,Marissa Lewis,Kalol,scooter,4.8
461,Rebecca Martin,Deesa,scooter,3.9
462,Roy Mason,Vadodara,scooter,4.0
463,Sara Tyler,Junagadh,bike,4.8
464,Erin Newman,Godhra,bicycle,3.6
465,Kevin Hardin,Ahmedabad,scooter,4.5
466,Jake White,Rajkot,bike,4.7
467,Joshua Walton,Bhavnagar,bike,3.6
468,Christina Howe,Nadiad,scooter,3.9
469,Catherine Lopez,Porbandar,bike,3.8
470,Jimmy Pearson DDS,Palanpur,bicycle,3.9
471,Donna Johnson,Morbi,bike,3.7
472,Kelly Smith,Morbi,bike,4.7
473,Jody Kelley,Nadiad,scooter,3.7
474,Daniel Martinez,Mehsana,bike,4.6
475,Deborah Camacho,Surendranagar,scooter,3.5
476,Nicholas Summers,Amreli,bicycle,3.7
477,Mary Castillo,Modasa,scooter,4.4
478,Katherine Mcgee,Ankleshwar,bicycle,3.6
479,Amanda Lowery,Bhavnagar,scooter,4.1
480,Jeffery Richardson,Surat,bicycle,4.9
481,Tyler Murphy,Ahmedabad,scooter,3.7
482,Brittany Fields,Deesa,bicycle,3.8
483,David Lewis,Vyara,scooter,4.4
484,John Alvarez,Nadiad,bicycle,3.5
485,Harold Dominguez,Veraval,bike,3.9
486,Amanda Carr,Anand,scooter,3.6
487,Regina Watts,Rajkot,bike,4.3
488,Dustin Torres,Ankleshwar,scooter,4.8
489,Brett Johnson,Bharuch,bike,4.1
490,Tyler Montes,Palanpur,bicycle,4.1
491,Stephen Gray,Rajkot,bike,4.7
492,Alexandra Simpson,Rajkot,bike,3.7
493,Tyler Cruz,Bhavnagar,bicycle,4.1
494,George Estrada,Surat,bike,3.7
495,Thomas Gonzalez,Palanpur,scooter,3.7
496,David Burns,Morbi,scooter,4.4
497,Scott Chavez,Palanpur,bike,4.1
498,Robyn Obrien,Navsari,scooter,3.6
499,Craig Mitchell,Ankleshwar,scooter,4.9
500,Ashley Jones,Bhavnagar,scooter,3.7
501,Anne Gay,Rajkot,scooter,4.5
502,Karen Brooks,Ahmedabad,bike,4.6
503,Justin Taylor,Vadodara,bike,4.0
504,Erin Gonzales,Vapi,bicycle,4.5
505,Tracey Larson,Nadiad,bike,4.1
506,Timothy Dennis,Vapi,bicycle,4.1
507,Kristen Schneider,Gandhinagar,scooter,4.5
508,Kelly Walters,Mehsana,scooter,4.1
509,Joseph Stewart,Surat,bicycle,3.8
510,Emily Montes,Deesa,bicycle,4.6
511,Tamara Stuart,Palanpur,bike,4.5
512,Michelle Hurst,Ahmedabad,bicycle,3.7
513,Michelle Farmer,Junagadh,bicycle,3.8
514,Norma Lewis,Mehsana,bicycle,4.4
515,Alan Jarvis,Deesa,scooter,4.4
516,Patricia Rivera,Vadodara,scooter,4.4
517,Amy Keller,Palanpur,scooter,4.6
518,Darren Phillips,Jamnagar,bicycle,3.6
519,Whitney Castro,Valsad,bicycle,4.9
520,Kimberly Mendoza,Vapi,bike,4.3
521,Jennifer Sims,Bharuch,bike,4.9
522,Paul Krause,Ahmedabad,scooter,4.5
523,George Fuller,Vadodara,scooter,4.5
524,Anthony Franklin,Kalol,bike,3.9
525,Holly Anderson,Kalol,bicycle,4.8
526,Michael Anderson,Bharuch,bicycle,4.7
527,Brianna Lee,Patan,bicycle,4.6
528,Kayla Hayes,Vapi,bike,4.8
529,Jasmine Lopez,Modasa,bicycle,4.1
530,Eric Hunter,Dahod,bike,4.7
531,Amy Anderson,Rajkot,scooter,4.7
532,Whitney Rivera,Botad,bicycle,3.5
533,Jennifer Reilly,Jamnagar,bicycle,4.5
534,Ryan Bender,Botad,bike,3.7
535,Barbara Mullen,Patan,bicycle,3.9
536,Kevin Campbell,Bhavnagar,bicycle,3.5
537,Sarah Woods,Nadiad,scooter,4.4
538,Tammy Hawkins,Rajkot,bicycle,3.7
539,Mark Garcia,Ankleshwar,bicycle,4.6
540,Mrs. Christy Neal DDS,Gandhinagar,bike,4.6
541,Cheryl Chan,Vapi,scooter,4.7
542,Daniel Hill,Navsari,bicycle,4.4
543,Gregory Gonzalez,Morbi,bike,4.5
544,Michael Lopez,Morbi,scooter,4.4
545,Samantha Guerra,Jamnagar,bike,4.4
546,Jason Harris,Junagadh,scooter,3.6
547,Elizabeth Haynes,Ahmedabad,bicycle,3.6
548,Dr. Jessica Kelley,Morbi,scooter,4.6
549,Robin Moore,Godhra,bike,3.7
550,Michael Flynn,Ahmedabad,scooter,3.9
551,Robin Bryant,Navsari,scooter,4.1
552,Brenda Johnson,Kalol,bike,4.5
553,Teresa Campbell,Valsad,scooter,4.9
554,Anthony Molina,Palanpur,bicycle,4.2
555,Jonathan Evans,Veraval,bike,4.1
556,Renee Faulkner,Himmatnagar,scooter,4.9
557,Michael Davis,Gandhinagar,bike,3.8
558,Debra Herman,Veraval,bike,4.7
559,Dustin Cole,Rajkot,scooter,4.4
560,Michelle Kemp,Surat,bicycle,4.2
561,Jennifer Mccoy,Vapi,scooter,4.4
562,Vincent Sullivan,Nadiad,bicycle,4.6
563,Jeanette Jackson,Nadiad,bicycle,4.6
564,Jesse King,Bharuch,scooter,4.9
565,Cathy Whitehead,Botad,bicycle,4.3
566,Antonio Garrett,Ankleshwar,bicycle,4.8
567,Lee Reese,Vapi,bicycle,4.1
568,Christian Black,Deesa,bike,4.6
569,Lisa Taylor,Amreli,bike,3.7
570,Heidi Lee,Vyara,bike,4.4
571,Justin Garcia,Surat,scooter,3.8
572,Barbara West,Amreli,scooter,4.6
573,Sharon Smith,Ankleshwar,bike,4.8
574,Andrew James,Deesa,bike,4.0
